ευγενικός,ευγενική,ευγενικό,ευγενικοί,ευγενικές,ευγενικά
έτοιμος,έτοιμη,έτοιμα,έτοιμοι,έτοιμες,έτοιμα
πράσινος,πράσινη,πράσινο,πράσινοι,πράσινες,πράσινα
πορτοκαλί,πορτοκαλί,πορτοκαλί,πορτοκαλί,πορτοκαλί,πορτοκαλί
μεγάλος,μεγάλη,μεγάλο,μεγάλοι,μεγάλες,μεγάλα
μικρός,μικρή,μικρό,μικροί,μικρές,μικρά
ψηλός,ψηλή,ψηλός,ψηλός,ψηλός,ψηλός
χαμηλός,χαμηλή,χαμηλό,χαμηλοί,χαμηλές,χαμηλά
ξύλινος,ξύλινη,ξύλινο,ξύλινοι,ξύλινες,ξύλινα
άσπρος,άσπρη,άσπρο,άσπροι,άσπρες,άσπρα
λεπτός,λεπτή,λεπτό,λεπτοί,λεπτές,λεπτά
χοντρός,χοντρή,χοντρό,χοντροί,χοντρές,χοντρά
καινούριος,καινούρια,καινούριο,καινούριοι,καινούριες,καινούρια
παλιός,παλιά,παλιό,παλιοί,παλιές,παλιά
όμορφος,όμορφη,όμορφο,όμορφοι,όμορφες,όμορφα
άσχημος,άσχημη,άσχημο,άσχημοι,άσχημες,άσχημα
ωραίος,ωραία,ωραίο,ωραίοι,ωραίες,ωραία
μονόχρωμος,μονόχρωμη,μονόχρωμο,μονόχρωμοι,μονόχρωμες,μονόχρωμα
πολύχρωμος,πολύχρωμη,πολύχρωμο,πολύχρωμοι,πολύχρωμες,πολύχρωμα
δυνατός,δυνατή,δυνατό,δυνατοί,δυνατες,δυνατά
αδύνατος,αδύνατη,αδύνατο,αδύνατοι,αδύνατες,αδύνατα
καστανός,καστανή,καστανά,καστανά,καστανά,καστανά
κοντός,κοντή,κοντό,κοντοί,κοντές,κοντά
φουντωτός,φουντωτή,φουντωτό,φουντωτοί,φουντωτές,φουντωτά
κατσαρος,κατσαρη,κατσαρο,κατσαροι,κατσαρες,κατσαρα
γαλανος,γαλανη,γαλανο,γαλανοι,γαλανες,γαλαναλανά
πράσινος,πράσινη,πράσινο,πράσινοι,πράσινες,πράσινα
μεγάλος,μεγάλη,μεγάλο,μεγάλοι,μεγάλες,μεγάλα
μικρος,μικρη,μικρο,μικροι,μικρες,μικρα
λεπτος,λεπτη,λεπτο,λεπτοι,λεπτες,λεπτα
χοντρος,χοντρη,χοντρο,χοντροι,χοντρες,χοντρα
γερος,γερη,γερο,γεροι,γερες,γερα
αραιος,αραιη,αραιο,αραιοι,αραιες,αραια
στραβος,στραβη,στραβο,στραβοι,στραβες,στραβα
χαμογελαστχαμογελαστος,χαμογελαστη,χαμογελαστο,χαμογελαστοι,χαμογελαστες,χαμογελαστα
χαρούμενος,χαρούμενη,χαρούμενο,χαρούμενοι,χαρούμενες,χαρούμενα
λυπημένος,λυπημένη,λυπημένο,λυπημένοι,λυπημένες,λυπημένα
αυστηραυστηρος,αυστηρη,αυστηρο,αυστηροι,αυστηρες,αυστηρα
κόκκινκόκκινος,κόκκινη,κόκκινο,κόκκινοι,κόκκινες,κόκκινακκινο
άσπράσπρος,άσπρη,άσπρο,άσπροι,άσπρες,άσπρα
μαύρμαύρος,μαύρη,μαύρο,μαύροι,μαύρες,μαύρα
κίτρινκίτρινος,κίτρινη,κίτρινο,κίτρινοι,κίτρινες,κίτρινα
πράσινπράσινος,πράσινη,πράσινο,πράσινοι,πράσινες,πράσινα
πορτοκαλί,πορτοκαλί,πορτοκαλί,πορτοκαλί,πορτοκαλί,πορτοκαλί
καφέ,καφέ,καφέ,καφέ,καφέ,καφέ
γκρι,γκρι,γκρι,γκρι,γκρι,γκρι
θαλασσί,θαλασσί,θαλασσί,θαλασσί,θαλασσί,θαλασσί
ευτυχισμένος,ευτυχισμένη,ευτυχισμένο,ευτυχισμένοι,ευτυχισμένες,ευτυχισμένα
ψηλόλιγνος,ψηλόλιγνη,ψηλόλιγνο,ψηλόλιγνοι,ψηλόλιγνες,ψηλόλιγνα
δυνατος,δυνατη,δυνατο,δυνατοι,δυνατες,δυνατατά
γρήγορος,γρήγορη,γρήγορο,γρήγοροι,γρήγορες,γρήγορα
σύντομος,σύντομη,σύντομο,σύντομοι,σύντομες,σύντομα
όμορφος,όμορφη,όμορφο,όμορφοι,όμορφες,όμορφα
παπούτσι,παπούτσι,παπούτσι,παπούτσι,παπούτσι,παπούτσι
πέτρινος,πέτρινη,πέτρινο,πέτρινοι,πέτρινες,πέτρινα
ευγενικευγενικος,ευγενικη,ευγενικο,ευγενικοι,ευγενικες,ευγενικα
πρωινπρωινος,πρωινη,πρωινο,πρωινοι,πρωινες,πρωινα
ρυθμικρυθμικος,ρυθμικη,ρυθμικο,ρυθμικοι,ρυθμικες,ρυθμικα
ώριμος,ώριμη,ώριμο,ώριμοι,ώριμες,ώριμα
